unique_key,created_date,closed_date,agency,complaint_type,descriptor,incident_zip,incident_address,borough,latitude,longitude,pii_caller_name,pii_phone,status,resolution_days
311-22229296,2024-11-01 03:16:02,2024-11-22 03:16:02,DPR,HEAT/HOT WATER,Descriptor_20,10313,969 5th Ave,Staten Island,40.842867,-74.007955,Resident_17,917-165-1425,Open,21
311-34851257,2024-08-12 01:21:01,2024-08-24 01:21:01,NYPD,Graffiti,Descriptor_16,10343,144 Park Ave,Brooklyn,40.509271,-73.729612,Resident_18,917-707-6720,Open,12
311-55304726,2024-07-03 19:45:48,2024-07-26 19:45:48,DPR,Noise - Residential,Descriptor_1,10486,149 Broadway,Brooklyn,40.533743,-74.19778,Resident_19,917-275-7874,Pending,23
311-56311501,2023-03-26 02:18:58,2023-04-24 02:18:58,NYPD,Street Condition,Descriptor_5,10133,167 Broadway,Staten Island,40.654337,-74.016304,Resident_20,917-587-1278,Open,29
311-40881644,2024-08-03 11:39:54,2024-08-18 11:39:54,DPR,Blocked Driveway,Descriptor_20,10414,375 Lexington Ave,Staten Island,40.897829,-73.90353,Resident_21,917-448-1965,Open,15
311-33756256,2024-12-25 06:14:23,2024-12-28 06:14:23,DOT,Blocked Driveway,Descriptor_11,10100,55 5th Ave,Staten Island,40.650069,-73.871405,Resident_22,917-833-6464,Closed,3
311-98684567,2024-12-02 03:33:50,2024-12-24 03:33:50,DPR,Noise - Residential,Descriptor_19,10438,714 5th Ave,Manhattan,40.621803,-73.893126,Resident_23,917-630-1451,Open,22
311-62079728,2024-05-07 16:42:22,2024-05-09 16:42:22,NYPD,Broken Muni Meter,Descriptor_6,10288,648 Main St,Bronx,40.688302,-74.010983,Resident_24,917-171-7615,Closed,2
311-55295628,2023-06-26 16:19:07,2023-07-24 16:19:07,HPD,Derelict Vehicle,Descriptor_19,10357,158 Broadway,Manhattan,40.549391,-74.098326,Resident_25,917-681-8938,Open,28
311-23464420,2023-04-16 12:15:30,2023-04-19 12:15:30,HPD,Derelict Vehicle,Descriptor_14,10352,147 5th Ave,Queens,40.68787,-74.226687,Resident_26,917-762-4265,Open,3
311-47948483,2023-06-19 18:55:34,2023-07-08 18:55:34,DOB,Street Light Condition,Descriptor_2,10151,292 Broadway,Staten Island,40.783282,-74.050815,Resident_27,917-466-1027,Open,19
311-62825978,2023-01-05 17:04:58,2023-01-24 17:04:58,DOB,Street Light Condition,Descriptor_16,10246,199 Broadway,Queens,40.506016,-74.161301,Resident_28,917-342-8412,Open,19
311-31715412,2024-05-01 09:54:40,2024-05-19 09:54:40,DOT,Blocked Driveway,Descriptor_18,10467,407 Park Ave,Manhattan,40.630202,-73.793388,Resident_29,917-818-1509,Open,18
311-56494749,2024-11-26 00:59:56,2024-12-17 00:59:56,DSNY,Street Condition,Descriptor_13,10355,536 Lexington Ave,Staten Island,40.539397,-73.778161,Resident_30,917-298-7308,Pending,21
311-39954927,2024-07-01 13:10:50,2024-07-29 13:10:50,DPR,Street Condition,Descriptor_2,10338,107 Lexington Ave,Staten Island,40.586523,-73.923088,Resident_31,917-731-8861,Pending,28
311-87377363,2024-08-10 08:13:57,2024-09-01 08:13:57,DEP,HEAT/HOT WATER,Descriptor_5,10262,316 5th Ave,Brooklyn,40.85267,-73.915894,Resident_32,917-295-4057,Closed,22
311-43456296,2023-08-12 00:11:42,2023-08-26 00:11:42,HPD,Blocked Driveway,Descriptor_18,10202,349 Broadway,Queens,40.529387,-73.922698,Resident_33,917-204-7029,Open,14
311-61311460,2024-12-23 07:10:56,2025-01-04 07:10:56,DPR,Rodent,Descriptor_9,10184,484 Main St,Staten Island,40.522919,-74.24803,Resident_34,917-982-5152,Closed,12
311-81054304,2023-03-12 02:00:30,2023-03-12 02:00:30,DOB,Broken Muni Meter,Descriptor_11,10163,321 Broadway,Queens,40.786189,-73.761429,Resident_35,917-312-5542,In Progress,0
311-70137050,2024-11-19 14:19:27,2024-12-12 14:19:27,NYPD,Graffiti,Descriptor_8,10288,767 Lexington Ave,Manhattan,40.81065,-73.818799,Resident_36,917-836-2560,Open,23
311-21448554,2024-02-14 20:12:35,2024-02-28 20:12:35,DSNY,Blocked Driveway,Descriptor_9,10366,862 5th Ave,Staten Island,40.563561,-74.123837,Resident_37,917-513-8384,In Progress,14
311-16058986,2024-05-03 07:59:55,2024-05-14 07:59:55,DOT,Graffiti,Descriptor_16,10330,187 5th Ave,Staten Island,40.665782,-74.150245,Resident_38,917-294-2609,Closed,11
311-56622660,2023-05-28 07:55:13,2023-06-15 07:55:13,DEP,Derelict Vehicle,Descriptor_1,10377,705 Park Ave,Queens,40.749087,-73.867217,Resident_39,917-849-6058,Pending,18
311-30504856,2023-06-16 22:31:50,2023-07-13 22:31:50,DEP,Illegal Parking,Descriptor_11,10370,612 5th Ave,Queens,40.874651,-73.990615,Resident_40,917-637-6814,Closed,27
311-64574908,2024-01-20 18:43:21,2024-01-24 18:43:21,DPR,Broken Muni Meter,Descriptor_17,10193,314 5th Ave,Bronx,40.822901,-74.063185,Resident_41,917-195-9743,In Progress,4
311-76648641,2024-06-10 05:20:00,2024-06-29 05:20:00,HPD,Street Light Condition,Descriptor_12,10310,253 Park Ave,Queens,40.638942,-73.782239,Resident_42,917-714-3316,Open,19
311-36946860,2023-04-21 08:33:44,2023-04-24 08:33:44,HPD,Street Light Condition,Descriptor_18,10408,824 Broadway,Brooklyn,40.863515,-74.016215,Resident_43,917-518-8240,Open,3
311-68626640,2023-06-19 08:29:21,2023-06-25 08:29:21,DOB,Street Condition,Descriptor_7,10452,494 Main St,Brooklyn,40.533359,-73.717376,Resident_44,917-525-2063,Pending,6
311-58979654,2023-12-14 17:10:41,2023-12-20 17:10:41,DOT,Derelict Vehicle,Descriptor_13,10471,904 5th Ave,Staten Island,40.850746,-73.721496,Resident_45,917-597-1746,Pending,6
311-51117445,2024-04-08 05:32:32,2024-04-15 05:32:32,DPR,Broken Muni Meter,Descriptor_4,10362,313 Main St,Bronx,40.590093,-73.834893,Resident_46,917-206-1590,Pending,7
311-46739443,2024-06-08 10:18:40,2024-06-25 10:18:40,DPR,Street Condition,Descriptor_17,10118,850 5th Ave,Bronx,40.610483,-73.886392,Resident_47,917-717-8000,Closed,17
311-96916304,2023-10-28 16:47:23,2023-11-26 16:47:23,DSNY,Rodent,Descriptor_16,10145,98 Main St,Brooklyn,40.551322,-74.008364,Resident_48,917-469-1038,Pending,29
311-44682405,2024-08-22 04:19:13,2024-09-20 04:19:13,HPD,Street Condition,Descriptor_5,10307,377 5th Ave,Bronx,40.741576,-74.13349,Resident_49,917-987-7353,Pending,29
311-24111682,2024-04-28 02:02:58,2024-05-15 02:02:58,DEP,Noise - Residential,Descriptor_2,10296,772 5th Ave,Queens,40.889059,-73.896198,Resident_50,917-327-3848,In Progress,17
311-97220762,2023-10-08 02:00:47,2023-10-12 02:00:47,DOB,Broken Muni Meter,Descriptor_6,10338,691 5th Ave,Brooklyn,40.866144,-74.104689,Resident_51,917-417-4874,Open,4
311-65508399,2024-01-18 13:38:24,2024-02-13 13:38:24,NYPD,Rodent,Descriptor_11,10412,348 5th Ave,Manhattan,40.676409,-74.151319,Resident_52,917-205-6547,Closed,26
311-96415310,2023-05-26 16:43:37,2023-06-01 16:43:37,NYPD,Street Light Condition,Descriptor_15,10452,613 5th Ave,Staten Island,40.735997,-73.736769,Resident_53,917-497-9942,Pending,6
311-21013984,2023-12-07 12:18:42,2023-12-25 12:18:42,DEP,Broken Muni Meter,Descriptor_19,10178,648 Main St,Manhattan,40.571576,-74.022455,Resident_54,917-180-4340,Pending,18
311-37012519,2023-12-10 04:57:09,2023-12-19 04:57:09,HPD,Derelict Vehicle,Descriptor_4,10410,317 Broadway,Manhattan,40.580225,-73.726849,Resident_55,917-987-8799,In Progress,9
311-46167673,2024-01-25 09:26:28,2024-02-11 09:26:28,DOT,Blocked Driveway,Descriptor_19,10231,839 5th Ave,Manhattan,40.631501,-74.038998,Resident_56,917-416-5218,In Progress,17
311-48483151,2024-01-29 02:41:26,2024-02-17 02:41:26,DOB,HEAT/HOT WATER,Descriptor_15,10478,274 Main St,Manhattan,40.909818,-74.002153,Resident_57,917-202-3302,Closed,19
311-92713460,2024-09-19 18:54:23,2024-10-06 18:54:23,DOT,Illegal Parking,Descriptor_13,10199,972 Broadway,Brooklyn,40.663143,-74.199419,Resident_58,917-775-8567,Pending,17
311-35958588,2023-06-25 21:38:22,2023-07-25 21:38:22,DSNY,Noise - Residential,Descriptor_17,10113,632 Lexington Ave,Manhattan,40.854991,-73.835121,Resident_59,917-804-3240,Pending,30
311-32021499,2023-03-15 16:09:04,2023-03-30 16:09:04,DOB,Rodent,Descriptor_12,10187,698 Lexington Ave,Staten Island,40.551515,-74.098884,Resident_60,917-100-3470,Pending,15
311-59314842,2024-02-04 02:09:01,2024-02-04 02:09:01,DSNY,Blocked Driveway,Descriptor_5,10211,167 Park Ave,Bronx,40.856883,-73.752807,Resident_61,917-652-4066,Pending,0
311-11923776,2024-10-05 16:09:57,2024-10-22 16:09:57,DSNY,Graffiti,Descriptor_7,10268,291 Lexington Ave,Bronx,40.833086,-73.788678,Resident_62,917-135-8753,In Progress,17
311-53983357,2023-03-19 14:06:05,2023-04-16 14:06:05,DSNY,Noise - Residential,Descriptor_10,10204,858 5th Ave,Manhattan,40.57051,-74.070527,Resident_63,917-876-7793,In Progress,28
311-29816799,2023-07-27 12:27:28,2023-08-19 12:27:28,HPD,Broken Muni Meter,Descriptor_18,10227,379 Lexington Ave,Staten Island,40.801301,-74.04081,Resident_64,917-363-9478,Pending,23
311-47935899,2023-12-05 21:37:22,2023-12-23 21:37:22,HPD,Blocked Driveway,Descriptor_10,10126,178 Broadway,Bronx,40.683246,-73.803917,Resident_65,917-470-9515,Closed,18
311-16707008,2024-12-26 06:19:20,2025-01-09 06:19:20,DSNY,Graffiti,Descriptor_11,10477,761 5th Ave,Brooklyn,40.594009,-74.234489,Resident_66,917-830-4437,Pending,14
311-22924066,2023-06-28 15:06:44,2023-07-27 15:06:44,NYPD,Blocked Driveway,Descriptor_16,10232,735 Main St,Queens,40.648198,-74.040218,Resident_67,917-388-1286,Open,29
311-51943561,2024-07-10 17:31:59,2024-07-24 17:31:59,DPR,Street Condition,Descriptor_8,10241,49 Broadway,Brooklyn,40.880568,-73.883737,Resident_68,917-967-2726,Pending,14
311-84935002,2023-06-25 10:39:39,2023-07-18 10:39:39,DOB,Noise - Residential,Descriptor_11,10232,208 Lexington Ave,Staten Island,40.849524,-73.922116,Resident_69,917-915-7990,Closed,23
311-74277822,2023-10-05 18:16:58,2023-10-18 18:16:58,DOT,HEAT/HOT WATER,Descriptor_11,10469,529 Park Ave,Staten Island,40.573357,-74.101569,Resident_70,917-274-2377,In Progress,13
311-88120864,2024-11-30 23:26:58,2024-12-21 23:26:58,NYPD,Blocked Driveway,Descriptor_18,10456,293 Lexington Ave,Manhattan,40.880986,-74.076133,Resident_71,917-312-8666,Closed,21
311-53218661,2023-12-17 21:12:02,2023-12-24 21:12:02,DSNY,Street Condition,Descriptor_2,10142,135 Broadway,Brooklyn,40.742343,-73.739673,Resident_72,917-174-9461,Open,7
311-26512670,2023-08-02 19:34:38,2023-08-21 19:34:38,DOB,Blocked Driveway,Descriptor_19,10417,231 5th Ave,Staten Island,40.66779,-73.770897,Resident_73,917-402-2191,Closed,19
311-61271456,2024-03-09 15:13:19,2024-03-28 15:13:19,DOB,Graffiti,Descriptor_16,10298,291 Main St,Staten Island,40.604405,-74.031564,Resident_74,917-900-7865,Open,19
311-11086988,2024-03-01 15:49:24,2024-03-15 15:49:24,DSNY,Street Condition,Descriptor_18,10496,440 Park Ave,Manhattan,40.563936,-74.087752,Resident_75,917-608-9751,Pending,14
311-21588832,2023-08-25 00:54:04,2023-09-21 00:54:04,DEP,Illegal Parking,Descriptor_15,10106,907 Park Ave,Queens,40.684907,-73.79218,Resident_76,917-925-9407,Pending,27
311-97855402,2023-02-16 13:25:51,2023-02-23 13:25:51,DSNY,Street Light Condition,Descriptor_14,10161,608 Broadway,Bronx,40.889706,-74.1814,Resident_77,917-552-3974,In Progress,7
311-29415463,2023-10-02 23:17:48,2023-10-09 23:17:48,DOB,Street Condition,Descriptor_15,10258,7 5th Ave,Bronx,40.634395,-74.018167,Resident_78,917-287-7524,Closed,7
311-84326622,2023-08-24 21:44:53,2023-08-29 21:44:53,DEP,Blocked Driveway,Descriptor_14,10314,426 Broadway,Staten Island,40.556444,-73.922627,Resident_79,917-735-1637,Closed,5
311-23754181,2023-02-14 04:01:10,2023-03-01 04:01:10,DOB,Noise - Residential,Descriptor_5,10341,571 Broadway,Bronx,40.690288,-74.101807,Resident_80,917-675-6303,Pending,15
311-20600717,2023-06-16 23:48:49,2023-06-17 23:48:49,DOB,Street Condition,Descriptor_7,10396,475 5th Ave,Staten Island,40.749899,-73.813689,Resident_81,917-404-3869,Pending,1
311-55699897,2024-04-26 04:00:47,2024-04-28 04:00:47,DEP,HEAT/HOT WATER,Descriptor_16,10120,536 Lexington Ave,Bronx,40.861535,-74.094786,Resident_82,917-344-7871,Pending,2
311-49761943,2023-11-19 02:10:33,2023-12-06 02:10:33,DEP,Rodent,Descriptor_6,10341,900 Broadway,Queens,40.700322,-74.030119,Resident_83,917-596-6762,In Progress,17
311-26159563,2023-05-27 08:11:35,2023-05-28 08:11:35,DOB,Derelict Vehicle,Descriptor_15,10449,882 Main St,Brooklyn,40.633405,-73.938833,Resident_84,917-811-8859,In Progress,1
311-80349725,2024-08-22 08:01:22,2024-09-05 08:01:22,DOB,HEAT/HOT WATER,Descriptor_15,10432,971 5th Ave,Brooklyn,40.664856,-74.081444,Resident_85,917-259-1136,Open,14
311-35599061,2023-04-12 23:20:14,2023-04-14 23:20:14,DOT,Street Condition,Descriptor_6,10490,32 Main St,Manhattan,40.641681,-74.227753,Resident_86,917-286-1380,Open,2
311-54520325,2024-06-10 07:26:30,2024-06-26 07:26:30,DPR,Street Light Condition,Descriptor_3,10132,123 5th Ave,Brooklyn,40.50273,-74.104101,Resident_87,917-980-4641,Pending,16
311-67566366,2024-12-03 13:30:25,2024-12-08 13:30:25,DEP,Graffiti,Descriptor_11,10185,441 5th Ave,Brooklyn,40.607481,-74.039582,Resident_88,917-281-3042,Closed,5
311-97540402,2024-02-19 02:57:03,2024-03-14 02:57:03,HPD,Street Light Condition,Descriptor_3,10485,937 Main St,Brooklyn,40.775427,-73.759403,Resident_89,917-406-2181,Closed,24
311-41882711,2023-09-01 10:45:32,2023-09-04 10:45:32,DPR,Derelict Vehicle,Descriptor_5,10402,12 Park Ave,Queens,40.512872,-73.732646,Resident_90,917-986-1687,Closed,3
311-15243216,2024-12-09 16:21:35,2024-12-16 16:21:35,DOT,Rodent,Descriptor_12,10138,937 Main St,Manhattan,40.537429,-74.157935,Resident_91,917-561-7165,Closed,7
311-57762965,2024-08-19 00:03:48,2024-09-13 00:03:48,DSNY,Broken Muni Meter,Descriptor_5,10465,862 Park Ave,Staten Island,40.579201,-73.809969,Resident_92,917-437-2789,Open,25
311-80270925,2023-11-01 16:47:09,2023-11-19 16:47:09,HPD,Blocked Driveway,Descriptor_8,10294,288 5th Ave,Queens,40.776754,-74.222851,Resident_93,917-217-1109,Open,18
311-20205798,2024-04-30 03:10:00,2024-05-13 03:10:00,DSNY,Broken Muni Meter,Descriptor_16,10498,366 Broadway,Staten Island,40.587228,-74.127519,Resident_94,917-928-6895,Closed,13
311-97175312,2023-09-26 01:14:08,2023-10-17 01:14:08,DOT,Graffiti,Descriptor_16,10107,508 5th Ave,Bronx,40.849232,-74.138612,Resident_95,917-797-3843,Closed,21
311-65403248,2024-11-04 04:04:12,2024-11-19 04:04:12,NYPD,Graffiti,Descriptor_5,10232,540 Main St,Queens,40.582725,-73.913271,Resident_96,917-588-6819,Pending,15
311-19722198,2024-05-02 07:07:07,2024-05-22 07:07:07,NYPD,Blocked Driveway,Descriptor_10,10374,744 Lexington Ave,Queens,40.689799,-74.120691,Resident_97,917-427-2207,Pending,20
311-82305337,2023-03-14 07:39:00,2023-04-07 07:39:00,NYPD,HEAT/HOT WATER,Descriptor_12,10371,541 Main St,Queens,40.760584,-73.825873,Resident_98,917-931-2323,In Progress,24
311-31553613,2024-11-16 22:09:23,2024-12-16 22:09:23,HPD,Blocked Driveway,Descriptor_8,10433,318 Lexington Ave,Bronx,40.540252,-73.922605,Resident_99,917-509-1495,Closed,30
311-41712183,2024-02-03 22:31:43,2024-02-14 22:31:43,HPD,Street Condition,Descriptor_13,10369,44 Broadway,Staten Island,40.750833,-74.199003,Resident_100,917-497-4171,Pending,11
311-36379153,2024-10-30 17:23:31,2024-11-29 17:23:31,HPD,HEAT/HOT WATER,Descriptor_9,10489,66 5th Ave,Queens,40.863011,-74.220311,Resident_101,917-407-9888,Pending,30
311-73417525,2023-01-30 00:44:42,2023-02-06 00:44:42,HPD,HEAT/HOT WATER,Descriptor_15,10366,819 Broadway,Queens,40.800313,-73.823943,Resident_102,917-540-6718,Open,7
311-62824707,2023-08-11 05:22:20,2023-08-11 05:22:20,DSNY,HEAT/HOT WATER,Descriptor_4,10447,647 5th Ave,Brooklyn,40.562221,-74.182438,Resident_103,917-743-7676,Pending,0
311-31800729,2023-09-15 23:05:25,2023-09-21 23:05:25,HPD,Noise - Residential,Descriptor_18,10234,242 Broadway,Staten Island,40.859768,-73.877811,Resident_104,917-128-8310,Closed,6
311-88162029,2023-03-08 21:37:34,2023-03-11 21:37:34,DSNY,Rodent,Descriptor_20,10163,89 Lexington Ave,Manhattan,40.719418,-73.920108,Resident_105,917-665-7803,Open,3
311-31158673,2024-05-14 00:27:51,2024-06-02 00:27:51,DSNY,Blocked Driveway,Descriptor_11,10333,847 Broadway,Manhattan,40.583569,-74.082628,Resident_106,917-278-8714,In Progress,19
311-40783604,2023-11-19 07:23:53,2023-12-19 07:23:53,DEP,Blocked Driveway,Descriptor_15,10167,574 Park Ave,Staten Island,40.695875,-73.811437,Resident_107,917-606-1431,In Progress,30
311-67127728,2024-07-01 23:47:44,2024-07-25 23:47:44,DSNY,Rodent,Descriptor_6,10138,143 Main St,Staten Island,40.569842,-73.92367,Resident_108,917-408-7444,Closed,24
311-35647877,2023-01-19 03:57:08,2023-01-22 03:57:08,NYPD,Blocked Driveway,Descriptor_18,10135,196 Main St,Queens,40.741711,-74.2095,Resident_109,917-502-6894,Open,3
311-83984596,2024-07-01 12:06:33,2024-07-01 12:06:33,NYPD,Derelict Vehicle,Descriptor_16,10222,327 Main St,Queens,40.879878,-74.141789,Resident_110,917-212-7517,In Progress,0
311-91669018,2024-05-02 22:21:16,2024-05-09 22:21:16,DOB,Illegal Parking,Descriptor_17,10401,238 Broadway,Queens,40.850444,-73.820467,Resident_111,917-819-4554,Pending,7
311-84671649,2024-12-28 18:20:43,2024-12-30 18:20:43,DPR,Noise - Residential,Descriptor_14,10354,457 5th Ave,Brooklyn,40.642316,-73.78912,Resident_112,917-743-5302,Open,2
311-45392602,2024-07-21 05:53:18,2024-08-06 05:53:18,DOT,Blocked Driveway,Descriptor_15,10395,523 Lexington Ave,Brooklyn,40.65212,-73.757292,Resident_113,917-222-4364,Closed,16
311-31596641,2023-07-18 01:30:10,2023-08-09 01:30:10,DSNY,Illegal Parking,Descriptor_14,10450,588 5th Ave,Brooklyn,40.906206,-73.910528,Resident_114,917-393-8358,Closed,22
311-16012055,2024-09-18 05:19:39,2024-09-27 05:19:39,NYPD,Derelict Vehicle,Descriptor_2,10118,862 Park Ave,Staten Island,40.804251,-73.809917,Resident_115,917-873-4228,Closed,9
311-50153743,2023-06-30 18:19:25,2023-07-17 18:19:25,DPR,Graffiti,Descriptor_19,10293,750 Broadway,Brooklyn,40.607179,-73.728624,Resident_116,917-220-9413,Closed,17
311-93701272,2023-08-11 07:22:30,2023-08-31 07:22:30,NYPD,Street Light Condition,Descriptor_10,10230,927 Main St,Staten Island,40.84172,-74.202341,Resident_117,917-846-6869,Pending,20
311-25696054,2024-12-13 04:18:16,2024-12-17 04:18:16,NYPD,Noise - Residential,Descriptor_6,10249,550 Broadway,Brooklyn,40.625586,-73.992274,Resident_118,917-737-8965,In Progress,4
311-45689056,2023-10-02 11:22:11,2023-10-23 11:22:11,HPD,Noise - Residential,Descriptor_15,10172,369 Lexington Ave,Brooklyn,40.696398,-73.827167,Resident_119,917-494-9105,Open,21
311-49301531,2024-10-19 04:42:13,2024-11-15 04:42:13,DEP,Graffiti,Descriptor_19,10281,624 Park Ave,Queens,40.649057,-73.74385,Resident_120,917-482-5411,Pending,27
311-66332658,2023-11-09 22:15:39,2023-11-23 22:15:39,DSNY,HEAT/HOT WATER,Descriptor_1,10486,913 Lexington Ave,Queens,40.534857,-73.876307,Resident_121,917-373-4754,In Progress,14
311-67965658,2023-05-14 21:20:27,2023-05-27 21:20:27,DOB,Broken Muni Meter,Descriptor_15,10191,388 Park Ave,Staten Island,40.56755,-73.816717,Resident_122,917-213-2558,Pending,13
311-85515832,2024-04-15 07:07:28,2024-05-09 07:07:28,DSNY,Street Condition,Descriptor_20,10279,554 Broadway,Staten Island,40.639035,-73.947844,Resident_123,917-830-1756,Closed,24
311-70126888,2023-01-04 03:54:00,2023-01-14 03:54:00,HPD,Street Light Condition,Descriptor_17,10411,658 Lexington Ave,Queens,40.622025,-73.947177,Resident_124,917-254-1388,Pending,10
311-48407427,2023-03-21 13:10:48,2023-04-09 13:10:48,DOT,Rodent,Descriptor_13,10358,912 Main St,Staten Island,40.87253,-74.144869,Resident_125,917-122-8332,Open,19
311-71795733,2023-10-30 13:36:14,2023-11-06 13:36:14,DEP,Graffiti,Descriptor_14,10445,646 Park Ave,Queens,40.579355,-74.038162,Resident_126,917-389-1026,In Progress,7
311-34856774,2024-06-21 21:20:00,2024-07-09 21:20:00,NYPD,Rodent,Descriptor_18,10157,232 5th Ave,Manhattan,40.766097,-74.042558,Resident_127,917-533-3909,Pending,18
311-76110005,2023-10-29 01:39:28,2023-11-17 01:39:28,DSNY,Rodent,Descriptor_12,10230,141 Park Ave,Brooklyn,40.763069,-74.187657,Resident_128,917-222-6901,Closed,19
311-60758115,2023-05-17 16:18:03,2023-05-18 16:18:03,DOB,HEAT/HOT WATER,Descriptor_20,10219,848 Broadway,Bronx,40.72069,-74.175804,Resident_129,917-414-7110,Pending,1
311-44080937,2024-08-21 09:44:40,2024-09-17 09:44:40,NYPD,Derelict Vehicle,Descriptor_20,10197,425 5th Ave,Brooklyn,40.601078,-73.982322,Resident_130,917-218-4808,In Progress,27
311-96252260,2024-09-05 19:20:35,2024-10-02 19:20:35,DOB,HEAT/HOT WATER,Descriptor_10,10383,462 5th Ave,Queens,40.760621,-74.065659,Resident_131,917-889-6851,Open,27
311-99153854,2023-08-03 05:33:06,2023-08-17 05:33:06,DEP,Rodent,Descriptor_9,10335,70 5th Ave,Manhattan,40.507609,-74.054146,Resident_132,917-528-8020,Pending,14
311-84320556,2024-06-11 20:23:57,2024-06-24 20:23:57,DPR,Street Condition,Descriptor_6,10353,242 Park Ave,Queens,40.677302,-74.136071,Resident_133,917-522-4377,Pending,13
311-44392787,2024-10-29 06:49:13,2024-11-08 06:49:13,NYPD,Street Light Condition,Descriptor_20,10353,82 Main St,Manhattan,40.562862,-74.191581,Resident_134,917-829-8418,Open,10
311-94808297,2024-03-25 02:37:22,2024-04-12 02:37:22,DOB,Street Light Condition,Descriptor_10,10390,956 Main St,Brooklyn,40.539841,-73.762109,Resident_135,917-356-4127,Closed,18
311-50426644,2023-09-06 21:06:58,2023-09-26 21:06:58,NYPD,Illegal Parking,Descriptor_15,10496,715 Main St,Queens,40.553804,-74.005994,Resident_136,917-177-7289,Pending,20
311-62038660,2023-04-27 07:37:45,2023-05-08 07:37:45,NYPD,Rodent,Descriptor_8,10266,649 Lexington Ave,Manhattan,40.561098,-73.96167,Resident_137,917-991-8371,Closed,11
311-68103029,2024-02-17 17:19:55,2024-03-13 17:19:55,DSNY,Street Condition,Descriptor_10,10436,372 5th Ave,Manhattan,40.902083,-74.143711,Resident_138,917-357-5387,Pending,25
311-83896543,2023-03-18 10:57:59,2023-03-19 10:57:59,DOT,Graffiti,Descriptor_5,10173,649 Lexington Ave,Queens,40.604356,-74.105757,Resident_139,917-879-3285,Closed,1
311-67950433,2024-09-22 15:48:16,2024-10-01 15:48:16,NYPD,Street Light Condition,Descriptor_1,10267,409 Lexington Ave,Staten Island,40.663288,-74.174559,Resident_140,917-975-6703,Pending,9
