session_id,hotspot_id,ssid,location_name,latitude,longitude,session_start,session_end,duration_min,data_mb,device_mac,pii_user_id,pii_email,ip_address,zip_code
CHI-SESS-000022,CHI-HS-0287,CHI-LINK,Boystown,41.722721,-87.785135,2024-05-18 07:43:11,2024-05-18 08:20:11,37,1859.81,e1:70:87:e4:31:0e,USR-73774,user22@email.com,10.89.66.75,60613
CHI-SESS-000023,CHI-HS-0102,Chicago_Public_Wifi,Grant Park,41.814254,-87.650622,2024-12-28 18:54:43,2024-12-28 21:02:43,128,112.56,8d:89:46:0f:8c:8a,USR-39133,user23@email.com,10.148.137.9,60673
CHI-SESS-000024,CHI-HS-0135,CHI-LINK,Rogers Park,41.856511,-87.666157,2024-05-02 20:06:10,2024-05-02 22:03:10,117,1697.33,2a:54:4e:22:f1:69,USR-18916,user24@email.com,10.185.96.216,60659
CHI-SESS-000025,CHI-HS-0162,CHI-LINK,Grant Park,41.79769,-87.555097,2023-09-16 01:20:15,2023-09-16 03:17:15,117,263.58,58:f8:19:3c:0f:c2,USR-40131,user25@email.com,10.155.118.146,60662
CHI-SESS-000026,CHI-HS-0233,CHI-FREE-WIFI,Lincoln Park,41.804303,-87.648435,2023-06-29 00:10:01,2023-06-29 02:15:01,125,1293.74,8a:1c:80:11:cd:9c,USR-95477,user26@email.com,10.165.243.88,60669
CHI-SESS-000027,CHI-HS-0208,CityOfChicago_Free,Grant Park,42.003684,-87.744287,2024-09-09 19:20:43,2024-09-09 22:04:43,164,1017.49,13:c0:68:b0:33:eb,USR-34481,user27@email.com,10.131.51.46,60628
CHI-SESS-000028,CHI-HS-0187,CHI-FREE-WIFI,Lincoln Park,41.730838,-87.690186,2023-09-21 17:04:28,2023-09-21 17:36:28,32,582.9,56:6f:b5:68:2a:a0,USR-36896,user28@email.com,10.174.255.113,60674
CHI-SESS-000029,CHI-HS-0253,CHI-LINK,Millennium Park,41.94336,-87.662675,2023-07-20 03:21:10,2023-07-20 05:45:10,144,506.99,8a:6b:b7:11:fe:49,USR-15549,user29@email.com,10.117.40.167,60695
CHI-SESS-000030,CHI-HS-0252,Chicago_Public_Wifi,Rogers Park,41.681182,-87.657788,2024-05-18 02:41:33,2024-05-18 03:19:33,38,1720.86,19:99:f7:71:83:4b,USR-33315,user30@email.com,10.2.179.17,60659
CHI-SESS-000031,CHI-HS-0256,CHI-FREE-WIFI,Navy Pier,41.716555,-87.838912,2023-04-22 04:00:47,2023-04-22 04:57:47,57,1192.99,aa:ae:62:61:fc:44,USR-43648,user31@email.com,10.99.41.82,60620
CHI-SESS-000032,CHI-HS-0054,Chicago_Public_Wifi,Millennium Park,41.762569,-87.937687,2023-03-19 10:04:37,2023-03-19 10:39:37,35,211.03,d1:30:3d:7f:68:fa,USR-12833,user32@email.com,10.119.73.1,60648
CHI-SESS-000033,CHI-HS-0016,CHI-FREE-WIFI,Pilsen,41.991492,-87.917421,2023-07-17 14:01:32,2023-07-17 15:31:32,90,478.36,e4:c0:44:68:42:68,USR-24942,user33@email.com,10.81.198.180,60617
CHI-SESS-000034,CHI-HS-0046,CHI-LINK,Lincoln Park,42.013686,-87.718611,2024-04-02 17:42:13,2024-04-02 18:55:13,73,1742.54,bd:1f:42:bf:88:54,USR-40455,user34@email.com,10.240.149.112,60666
CHI-SESS-000035,CHI-HS-0177,Chicago_Public_Wifi,Hyde Park,41.758422,-87.889865,2023-06-29 00:46:13,2023-06-29 00:49:13,3,1215.31,3d:31:6f:a2:4c:48,USR-36399,user35@email.com,10.239.33.96,60652
CHI-SESS-000036,CHI-HS-0235,CHI-FREE-WIFI,Wicker Park,41.74789,-87.563368,2023-01-07 01:26:31,2023-01-07 02:24:31,58,1960.32,ce:5f:97:13:d8:51,USR-24040,user36@email.com,10.117.11.48,60614
CHI-SESS-000037,CHI-HS-0111,CHI-LINK,Wicker Park,41.654382,-87.88309,2024-12-19 13:17:17,2024-12-19 13:56:17,39,681.26,8d:b4:0d:58:ad:2f,USR-45596,user37@email.com,10.93.243.183,60686
CHI-SESS-000038,CHI-HS-0147,CityOfChicago_Free,Loop,41.926936,-87.836178,2023-03-23 04:45:31,2023-03-23 07:04:31,139,1117.95,ac:da:2c:c5:f5:32,USR-77495,user38@email.com,10.90.157.67,60652
CHI-SESS-000039,CHI-HS-0178,CHI-FREE-WIFI,Navy Pier,41.747138,-87.71015,2024-05-26 17:40:14,2024-05-26 19:23:14,103,221.77,5e:ed:26:ac:4f:d0,USR-74732,user39@email.com,10.58.46.134,60617
CHI-SESS-000040,CHI-HS-0072,CHI-LINK,Rogers Park,41.905797,-87.619306,2023-02-11 05:27:37,2023-02-11 06:57:37,90,210.15,88:80:b3:92:08:cc,USR-49370,user40@email.com,10.147.191.32,60646
CHI-SESS-000041,CHI-HS-0250,Chicago_Public_Wifi,Navy Pier,41.768859,-87.878121,2023-02-08 15:29:32,2023-02-08 16:33:32,64,1774.64,91:0a:9b:00:3f:21,USR-43708,user41@email.com,10.111.158.155,60654
CHI-SESS-000042,CHI-HS-0099,CityOfChicago_Free,Rogers Park,41.968663,-87.779442,2024-08-04 05:32:35,2024-08-04 07:38:35,126,376.83,32:0c:a3:91:0c:90,USR-89844,user42@email.com,10.224.157.161,60626
CHI-SESS-000043,CHI-HS-0085,Chicago_Public_Wifi,Boystown,41.830952,-87.590204,2024-05-23 14:28:15,2024-05-23 15:26:15,58,1158.77,f2:03:6f:fd:a1:06,USR-83560,user43@email.com,10.232.246.165,60674
CHI-SESS-000044,CHI-HS-0049,CHI-FREE-WIFI,Boystown,41.891037,-87.93408,2023-03-24 10:38:55,2023-03-24 11:08:55,30,183.78,e0:cf:41:c5:7b:f3,USR-85777,user44@email.com,10.93.4.11,60649
CHI-SESS-000045,CHI-HS-0068,CHI-LINK,Wicker Park,41.646882,-87.613621,2024-08-18 05:45:38,2024-08-18 07:31:38,106,1982.99,a7:38:7a:8f:53:fd,USR-96365,user45@email.com,10.102.139.153,60643
CHI-SESS-000046,CHI-HS-0218,CHI-LINK,Wicker Park,41.900508,-87.634512,2024-04-06 15:13:05,2024-04-06 16:23:05,70,756.08,90:f2:11:92:23:05,USR-64486,user46@email.com,10.25.177.214,60642
CHI-SESS-000047,CHI-HS-0026,Chicago_Public_Wifi,Pilsen,41.672332,-87.686777,2024-07-31 22:40:01,2024-08-01 00:25:01,105,16.82,d1:97:be:ba:8d:72,USR-72592,user47@email.com,10.214.248.29,60667
CHI-SESS-000048,CHI-HS-0280,Chicago_Public_Wifi,Grant Park,41.662429,-87.725636,2024-07-19 08:09:54,2024-07-19 08:56:54,47,1181.9,73:88:9a:d5:c3:aa,USR-34530,user48@email.com,10.34.91.52,60668
CHI-SESS-000049,CHI-HS-0116,CityOfChicago_Free,Wicker Park,41.790976,-87.684109,2023-11-07 14:15:38,2023-11-07 16:16:38,121,1932.36,8f:38:4e:7f:39:ad,USR-50185,user49@email.com,10.192.54.18,60661
CHI-SESS-000050,CHI-HS-0186,Chicago_Public_Wifi,Wicker Park,41.72428,-87.751294,2024-12-16 14:50:56,2024-12-16 17:43:56,173,473.19,14:8b:86:d3:8a:30,USR-87734,user50@email.com,10.7.36.225,60631
CHI-SESS-000051,CHI-HS-0257,CHI-FREE-WIFI,Loop,41.677081,-87.693382,2023-03-20 21:20:08,2023-03-20 22:13:08,53,1591.34,71:1e:38:1a:c5:fa,USR-10088,user51@email.com,10.226.131.97,60670
CHI-SESS-000052,CHI-HS-0250,CHI-LINK,Boystown,41.883378,-87.792965,2024-12-07 03:52:34,2024-12-07 04:24:34,32,156.53,2e:70:15:9c:1e:d1,USR-46530,user52@email.com,10.74.213.243,60698
CHI-SESS-000053,CHI-HS-0193,Chicago_Public_Wifi,Hyde Park,41.956055,-87.804828,2023-11-17 10:02:01,2023-11-17 12:14:01,132,387.04,28:ad:a6:e1:cb:d2,USR-14391,user53@email.com,10.83.180.132,60642
CHI-SESS-000054,CHI-HS-0158,CHI-FREE-WIFI,Rogers Park,41.917504,-87.758384,2024-06-16 06:36:52,2024-06-16 08:15:52,99,685.49,31:1d:74:4c:0e:b5,USR-69963,user54@email.com,10.109.24.99,60683
CHI-SESS-000055,CHI-HS-0198,CHI-FREE-WIFI,Grant Park,41.738279,-87.901717,2023-08-20 14:39:36,2023-08-20 16:50:36,131,460.98,14:0f:6e:0f:4a:8a,USR-84762,user55@email.com,10.234.215.76,60676
CHI-SESS-000056,CHI-HS-0246,Chicago_Public_Wifi,Lincoln Park,41.849965,-87.854396,2024-12-28 13:08:14,2024-12-28 14:58:14,110,1652.92,3e:d0:e2:1e:0a:f2,USR-13486,user56@email.com,10.32.40.189,60630
CHI-SESS-000057,CHI-HS-0047,CityOfChicago_Free,Grant Park,41.950329,-87.637892,2024-02-20 19:47:21,2024-02-20 22:02:21,135,1851.27,67:8b:5a:11:6d:06,USR-24644,user57@email.com,10.208.188.204,60621
CHI-SESS-000058,CHI-HS-0200,Chicago_Public_Wifi,Boystown,41.826669,-87.772387,2024-12-21 06:52:10,2024-12-21 07:50:10,58,1135.67,36:3a:11:73:37:07,USR-51246,user58@email.com,10.9.86.226,60698
CHI-SESS-000059,CHI-HS-0293,CHI-FREE-WIFI,Hyde Park,41.815959,-87.893454,2024-06-07 07:01:31,2024-06-07 08:56:31,115,39.98,de:6a:29:f2:d2:24,USR-75419,user59@email.com,10.101.201.208,60648
CHI-SESS-000060,CHI-HS-0066,CHI-LINK,Wicker Park,41.701876,-87.923065,2024-07-17 01:21:26,2024-07-17 03:01:26,100,1326.16,42:2f:82:a5:2f:15,USR-85853,user60@email.com,10.162.193.206,60613
CHI-SESS-000061,CHI-HS-0169,CHI-FREE-WIFI,Loop,41.84842,-87.737282,2023-02-04 14:27:44,2023-02-04 14:46:44,19,931.38,a2:86:0b:35:81:1b,USR-48950,user61@email.com,10.12.34.36,60652
CHI-SESS-000062,CHI-HS-0025,CityOfChicago_Free,Wicker Park,41.661126,-87.709979,2024-06-03 01:22:11,2024-06-03 03:46:11,144,980.61,1d:36:aa:bd:a0:af,USR-84112,user62@email.com,10.44.128.159,60647
CHI-SESS-000063,CHI-HS-0240,Chicago_Public_Wifi,Hyde Park,41.820597,-87.781955,2023-11-10 15:39:34,2023-11-10 16:36:34,57,480.83,fd:f5:4b:45:fc:90,USR-15188,user63@email.com,10.163.42.167,60646
CHI-SESS-000064,CHI-HS-0242,CityOfChicago_Free,Rogers Park,41.870214,-87.913069,2024-11-29 18:03:34,2024-11-29 19:30:34,87,1268.98,63:3a:2b:81:35:45,USR-62168,user64@email.com,10.124.120.29,60690
CHI-SESS-000065,CHI-HS-0244,Chicago_Public_Wifi,Loop,41.751786,-87.522555,2023-04-09 03:22:49,2023-04-09 06:03:49,161,1721.84,a7:a4:28:a2:72:1c,USR-82035,user65@email.com,10.217.98.50,60611
CHI-SESS-000066,CHI-HS-0083,CHI-LINK,Grant Park,41.97423,-87.7,2024-06-06 10:16:15,2024-06-06 11:08:15,52,179.86,4e:29:72:9b:0e:6f,USR-92216,user66@email.com,10.108.217.79,60687
CHI-SESS-000067,CHI-HS-0087,CHI-FREE-WIFI,Hyde Park,41.644368,-87.574307,2024-02-12 16:28:47,2024-02-12 19:22:47,174,7.44,eb:a7:fa:ec:fc:ed,USR-87079,user67@email.com,10.153.157.99,60615
CHI-SESS-000068,CHI-HS-0073,Chicago_Public_Wifi,Hyde Park,41.988741,-87.938461,2023-02-14 08:33:52,2023-02-14 11:12:52,159,1295.24,b5:bd:02:2c:37:a6,USR-95559,user68@email.com,10.103.77.181,60615
CHI-SESS-000069,CHI-HS-0090,Chicago_Public_Wifi,Pilsen,41.719279,-87.709754,2023-12-18 02:45:11,2023-12-18 05:01:11,136,934.43,18:06:86:eb:59:83,USR-79232,user69@email.com,10.189.245.19,60610
CHI-SESS-000070,CHI-HS-0233,CHI-LINK,Navy Pier,41.809198,-87.557828,2023-05-13 16:57:58,2023-05-13 17:11:58,14,1259.66,19:1b:20:b1:8f:dd,USR-51371,user70@email.com,10.193.18.125,60636
CHI-SESS-000071,CHI-HS-0147,CHI-LINK,Rogers Park,41.949302,-87.649876,2023-03-10 05:11:01,2023-03-10 05:33:01,22,1173.06,ce:91:e1:15:9e:03,USR-49452,user71@email.com,10.181.243.47,60622
CHI-SESS-000072,CHI-HS-0021,CHI-LINK,Rogers Park,41.866784,-87.675721,2023-09-16 14:07:04,2023-09-16 14:58:04,51,1581.24,f1:a2:f9:66:82:45,USR-99362,user72@email.com,10.193.194.18,60640
CHI-SESS-000073,CHI-HS-0034,CHI-FREE-WIFI,Wicker Park,41.642019,-87.654874,2024-04-02 09:54:46,2024-04-02 12:15:46,141,899.97,2d:65:e6:3f:f5:b4,USR-87189,user73@email.com,10.79.250.236,60634
CHI-SESS-000074,CHI-HS-0230,Chicago_Public_Wifi,Grant Park,41.750198,-87.873913,2023-06-13 12:27:23,2023-06-13 14:08:23,101,501.95,d3:b8:9f:52:71:45,USR-87726,user74@email.com,10.123.196.17,60645
CHI-SESS-000075,CHI-HS-0057,CHI-LINK,Millennium Park,41.74788,-87.609901,2023-12-02 15:14:33,2023-12-02 16:28:33,74,1148.72,9d:a9:64:e9:0c:f8,USR-34263,user75@email.com,10.188.85.35,60612
CHI-SESS-000076,CHI-HS-0290,CHI-FREE-WIFI,Pilsen,41.940838,-87.800104,2023-12-20 23:57:53,2023-12-21 00:04:53,7,1210.57,53:fe:7c:fe:cc:28,USR-87334,user76@email.com,10.133.46.42,60684
CHI-SESS-000077,CHI-HS-0212,CityOfChicago_Free,Grant Park,41.848084,-87.92125,2024-06-08 23:28:08,2024-06-09 01:38:08,130,1169.57,7b:1c:d6:f8:de:e2,USR-68466,user77@email.com,10.91.253.11,60697
CHI-SESS-000078,CHI-HS-0045,CHI-LINK,Boystown,41.889315,-87.776456,2024-09-24 20:48:05,2024-09-24 21:05:05,17,1209.39,16:41:17:21:89:a3,USR-32436,user78@email.com,10.6.186.230,60626
CHI-SESS-000079,CHI-HS-0056,Chicago_Public_Wifi,Wicker Park,41.902142,-87.702236,2024-06-09 13:49:18,2024-06-09 14:23:18,34,1869.64,28:8a:2b:bb:b4:9a,USR-11382,user79@email.com,10.59.181.51,60695
CHI-SESS-000080,CHI-HS-0221,CHI-LINK,Rogers Park,41.775661,-87.523869,2024-05-24 18:01:32,2024-05-24 18:07:32,6,547.09,b1:d3:9e:26:e1:b0,USR-52045,user80@email.com,10.11.146.204,60621
CHI-SESS-000081,CHI-HS-0212,CHI-LINK,Pilsen,41.756066,-87.885046,2023-01-09 01:20:05,2023-01-09 01:56:05,36,963.41,33:5a:1d:f5:a3:d7,USR-30295,user81@email.com,10.51.208.44,60631
CHI-SESS-000082,CHI-HS-0261,CHI-LINK,Grant Park,41.867959,-87.920967,2024-12-30 07:58:03,2024-12-30 09:59:03,121,1844.95,0e:1d:5e:b1:ac:44,USR-17256,user82@email.com,10.127.86.59,60624
CHI-SESS-000083,CHI-HS-0045,Chicago_Public_Wifi,Loop,41.859443,-87.93808,2024-11-15 00:21:31,2024-11-15 01:22:31,61,600.98,45:f3:2e:e3:c5:db,USR-36878,user83@email.com,10.194.142.215,60614
CHI-SESS-000084,CHI-HS-0093,Chicago_Public_Wifi,Grant Park,41.878503,-87.751127,2023-04-05 13:55:33,2023-04-05 14:25:33,30,356.99,85:b7:85:8a:15:f6,USR-62967,user84@email.com,10.117.198.17,60634
CHI-SESS-000085,CHI-HS-0276,CHI-LINK,Pilsen,41.858347,-87.859304,2023-10-18 08:01:53,2023-10-18 08:17:53,16,1663.77,85:71:c6:f2:e4:ed,USR-27302,user85@email.com,10.219.108.192,60665
CHI-SESS-000086,CHI-HS-0210,CityOfChicago_Free,Boystown,41.697193,-87.92014,2023-11-26 00:53:01,2023-11-26 01:11:01,18,1379.63,8b:3c:4c:71:9a:21,USR-86447,user86@email.com,10.33.45.149,60631
CHI-SESS-000087,CHI-HS-0123,CityOfChicago_Free,Rogers Park,41.841557,-87.520888,2024-11-04 09:14:48,2024-11-04 09:54:48,40,1145.99,aa:19:f7:d6:77:e5,USR-80634,user87@email.com,10.48.58.9,60611
CHI-SESS-000088,CHI-HS-0119,CityOfChicago_Free,Grant Park,41.829521,-87.549565,2023-08-05 11:17:48,2023-08-05 11:49:48,32,833.05,ef:28:0c:4f:94:aa,USR-70136,user88@email.com,10.36.56.123,60699
CHI-SESS-000089,CHI-HS-0232,Chicago_Public_Wifi,Lincoln Park,41.911409,-87.664178,2024-10-19 19:20:18,2024-10-19 20:04:18,44,412.42,ec:e5:ec:12:2d:56,USR-62596,user89@email.com,10.149.17.99,60638
CHI-SESS-000090,CHI-HS-0195,CHI-LINK,Millennium Park,41.913806,-87.578108,2023-03-13 09:24:23,2023-03-13 11:51:23,147,1438.71,da:b8:e0:5c:9a:d6,USR-66865,user90@email.com,10.237.143.170,60632
CHI-SESS-000091,CHI-HS-0037,Chicago_Public_Wifi,Lincoln Park,41.887892,-87.911745,2023-08-03 16:16:02,2023-08-03 18:28:02,132,1509.75,39:a0:45:3d:7f:19,USR-90494,user91@email.com,10.89.90.86,60645
CHI-SESS-000092,CHI-HS-0280,Chicago_Public_Wifi,Grant Park,41.707968,-87.905582,2024-10-23 21:39:10,2024-10-23 21:40:10,1,1579.3,ac:fe:81:89:ab:a8,USR-88330,user92@email.com,10.8.27.159,60618
CHI-SESS-000093,CHI-HS-0167,CHI-LINK,Wicker Park,42.011559,-87.708039,2024-11-06 01:37:46,2024-11-06 02:13:46,36,1222.35,a0:8d:0b:aa:ea:ea,USR-14168,user93@email.com,10.247.0.201,60624
CHI-SESS-000094,CHI-HS-0100,CHI-LINK,Hyde Park,41.760598,-87.69556,2024-01-31 09:56:03,2024-01-31 12:25:03,149,636.18,50:fd:11:b6:f9:86,USR-58124,user94@email.com,10.124.117.231,60683
CHI-SESS-000095,CHI-HS-0194,CHI-FREE-WIFI,Wicker Park,41.750578,-87.669055,2024-02-23 08:37:47,2024-02-23 09:49:47,72,1648.16,f8:b1:a9:bc:84:31,USR-48361,user95@email.com,10.124.95.217,60639
CHI-SESS-000096,CHI-HS-0250,CityOfChicago_Free,Pilsen,41.973954,-87.617206,2023-04-30 11:22:25,2023-04-30 14:01:25,159,1845.2,4b:7f:1d:a3:cf:21,USR-69213,user96@email.com,10.50.180.46,60636
CHI-SESS-000097,CHI-HS-0271,CHI-LINK,Rogers Park,41.836723,-87.568754,2023-04-23 10:45:35,2023-04-23 12:28:35,103,1386.95,83:0d:ee:d3:b5:b0,USR-67630,user97@email.com,10.18.118.160,60631
CHI-SESS-000098,CHI-HS-0110,CHI-LINK,Lincoln Park,41.884422,-87.561529,2023-01-12 22:53:42,2023-01-12 22:55:42,2,1264.4,5f:68:92:2d:92:69,USR-57528,user98@email.com,10.75.102.89,60655
CHI-SESS-000099,CHI-HS-0300,CityOfChicago_Free,Hyde Park,41.681137,-87.817838,2023-04-19 23:20:18,2023-04-19 23:25:18,5,1495.9,74:7b:78:74:f7:06,USR-67899,user99@email.com,10.137.194.4,60650
CHI-SESS-000100,CHI-HS-0216,CHI-LINK,Grant Park,41.978998,-87.626047,2024-06-11 12:19:51,2024-06-11 13:32:51,73,202.18,a3:fc:dc:9c:29:a0,USR-20932,user100@email.com,10.211.237.169,60691
CHI-SESS-000101,CHI-HS-0143,CHI-FREE-WIFI,Navy Pier,41.824866,-87.894567,2024-08-24 00:43:14,2024-08-24 01:04:14,21,1392.52,58:ff:23:c3:8f:b8,USR-47075,user101@email.com,10.175.184.211,60641
CHI-SESS-000102,CHI-HS-0112,CHI-LINK,Pilsen,41.693408,-87.870528,2024-07-06 04:29:04,2024-07-06 07:20:04,171,347.03,0b:f9:e7:b0:95:cd,USR-53704,user102@email.com,10.64.192.153,60613
CHI-SESS-000103,CHI-HS-0019,Chicago_Public_Wifi,Loop,41.841502,-87.878016,2023-07-17 04:06:52,2023-07-17 05:35:52,89,1805.36,24:18:12:fa:6a:a6,USR-41888,user103@email.com,10.90.7.10,60681
CHI-SESS-000104,CHI-HS-0032,CHI-LINK,Lincoln Park,41.890664,-87.712839,2024-10-27 06:41:53,2024-10-27 06:44:53,3,278.71,1d:15:fa:1b:2a:6c,USR-12278,user104@email.com,10.59.191.210,60654
CHI-SESS-000105,CHI-HS-0270,CHI-LINK,Pilsen,41.901573,-87.767149,2024-02-27 00:06:35,2024-02-27 02:05:35,119,496.83,92:2e:b5:3e:b5:96,USR-42454,user105@email.com,10.255.157.99,60673
CHI-SESS-000106,CHI-HS-0240,CHI-LINK,Pilsen,41.962481,-87.79335,2024-11-25 08:29:14,2024-11-25 11:09:14,160,1757.88,f5:23:1d:9f:46:68,USR-70457,user106@email.com,10.66.87.45,60629
CHI-SESS-000107,CHI-HS-0144,Chicago_Public_Wifi,Millennium Park,41.659638,-87.843622,2023-08-28 17:05:36,2023-08-28 19:14:36,129,1674.78,58:20:31:52:f8:df,USR-24758,user107@email.com,10.237.89.43,60694
CHI-SESS-000108,CHI-HS-0167,CityOfChicago_Free,Hyde Park,41.996377,-87.835546,2023-01-18 08:25:57,2023-01-18 10:49:57,144,1635.13,82:86:ec:04:9a:be,USR-97434,user108@email.com,10.71.76.211,60645
CHI-SESS-000109,CHI-HS-0238,CHI-FREE-WIFI,Lincoln Park,41.828109,-87.593209,2023-08-12 05:41:37,2023-08-12 06:24:37,43,268.97,6d:63:0a:26:bf:97,USR-39040,user109@email.com,10.122.112.73,60642
CHI-SESS-000110,CHI-HS-0121,CityOfChicago_Free,Boystown,41.76614,-87.657825,2024-06-19 18:49:47,2024-06-19 21:19:47,150,1455.02,54:f0:c7:71:4d:20,USR-38627,user110@email.com,10.33.171.18,60682
CHI-SESS-000111,CHI-HS-0152,CityOfChicago_Free,Wicker Park,41.848091,-87.830831,2024-08-18 07:15:26,2024-08-18 08:07:26,52,1621.79,f5:88:a2:7e:f6:98,USR-88439,user111@email.com,10.110.151.201,60685
CHI-SESS-000112,CHI-HS-0218,CHI-LINK,Lincoln Park,41.881037,-87.899761,2023-08-30 09:47:27,2023-08-30 09:48:27,1,14.93,7d:e0:78:1e:ec:4d,USR-59942,user112@email.com,10.52.25.42,60670
CHI-SESS-000113,CHI-HS-0153,Chicago_Public_Wifi,Pilsen,41.781061,-87.590237,2024-11-13 23:59:23,2024-11-14 01:21:23,82,504.18,0f:a8:e8:db:a7:7c,USR-79271,user113@email.com,10.137.151.53,60692
CHI-SESS-000114,CHI-HS-0264,Chicago_Public_Wifi,Navy Pier,41.657389,-87.548146,2023-04-29 17:26:55,2023-04-29 18:55:55,89,511.14,c0:53:ac:c8:2f:9a,USR-80054,user114@email.com,10.241.201.194,60633
